msn,location,daily_consumption_load,energy_supplied,energy_billed,technical_loss_kwh,loss_ratio,timestamp
7F6ACD62,Delhi,241.32,259.6,240.85999999999999,18.740000000000002,0.07346305570258378,2021-01-10
ACE43B7D,Chennai,257.66,276.47,257.34,19.13,0.06780992214546418,2021-01-10
3F42A75F,Mumbai,242.34,263.4,242.01,21.39,0.07953706279521168,2021-01-11
ACE43B7D,Chennai,252.26,270.36,250.26,20.1,0.07499056296904479,2021-01-11
7F6ACD62,Delhi,249.69,268.02,249.1,18.92,0.07242489860569691,2021-01-11
344684B5,Kolkata,251.1,275.97,253.59,22.380000000000003,0.08019570749632106,2021-01-11
0653DAA9,Bengaluru,236.22,255.41,235.69,19.719999999999995,0.07802228204738584,2021-01-11
0653DAA9,Bengaluru,221.15,239.34,221.43,17.91,0.07174028668304684,2021-01-12
344684B5,Kolkata,229.67000000000002,250.38,230.12,20.259999999999998,0.08277340888209274,2021-01-12
3F42A75F,Mumbai,240.38,258.76,239.6,19.159999999999997,0.07370584672580896,2021-01-12
7F6ACD62,Delhi,225.6,243.88,225.17,18.71,0.07988269572938105,2021-01-12
ACE43B7D,Chennai,251.3,271.89,250.25,21.639999999999997,0.0820489742166766,2021-01-12
ACE43B7D,Chennai,218.87,233.28,217.94,15.340000000000002,0.06957528773713353,2021-01-13
3F42A75F,Mumbai,244.09,265.35,244.60999999999999,20.740000000000002,0.07995889771304196,2021-01-13
7F6ACD62,Delhi,242.32,260.67,242.66,18.009999999999994,0.06463865788357308,2021-01-13
0653DAA9,Bengaluru,264.93,286.55,264.77,21.779999999999998,0.0744542694184836,2021-01-13
344684B5,Kolkata,239.51,259.13,238.97,20.16,0.07487612626620473,2021-01-13
0653DAA9,Bengaluru,245.87,265.57,245.03,20.540000000000003,0.075533051995185,2021-01-14
344684B5,Kolkata,249.18,271.62,250.16,21.459999999999997,0.07828035749124478,2021-01-14
3F42A75F,Mumbai,266.57,289.15,265.35,23.8,0.08033152875949641,2021-01-14
7F6ACD62,Delhi,247.1,268.07,248.66,19.41,0.07597824928055917,2021-01-14
ACE43B7D,Chennai,265.88,286.58,265.56,21.02,0.07492953150441646,2021-01-14
7F6ACD62,Delhi,261.87,284.35,262.38,21.97,0.07924181724700065,2021-01-15
ACE43B7D,Chennai,267.44,292.53,268.35,24.18,0.08220002598887359,2021-01-15
344684B5,Kolkata,237.47,257.74,238.26,19.48,0.07222246593016056,2021-01-15
0653DAA9,Bengaluru,230.68,250.77,231.53,19.240000000000002,0.07336663615109941,2021-01-15
3F42A75F,Mumbai,249.36,269.26,248.93,20.330000000000002,0.07169556730736988,2021-01-15
ACE43B7D,Chennai,276.5,300.21,277.18,23.03,0.07677299189526449,2021-01-16
0653DAA9,Bengaluru,250.2,270.94,250.78,20.16,0.07509612465291356,2021-01-16
344684B5,Kolkata,254.23,275.21,254.51,20.700000000000003,0.07848968432479075,2021-01-16
3F42A75F,Mumbai,244.4,264.73,244.93,19.8,0.07471822440815142,2021-01-16
7F6ACD62,Delhi,245.95,269.21,247.38,21.830000000000002,0.08096708486190436,2021-01-16
3F42A75F,Mumbai,237.57,259.39,238.02,21.37,0.0843383899623502,2021-01-17
7F6ACD62,Delhi,236.88,258.4,237.19,21.21,0.07973091776781432,2021-01-17
0653DAA9,Bengaluru,256.46,278.05,256.69,21.36,0.08060241688052326,2021-01-17
344684B5,Kolkata,236.13,253.93,235.33,18.6,0.07308007444151297,2021-01-17
ACE43B7D,Chennai,241.08,263.46999999999997,241.91,21.559999999999995,0.08036502197604087,2021-01-17
ACE43B7D,Chennai,263.54,285.66,263.5,22.16,0.07855906808956255,2021-01-18
7F6ACD62,Delhi,241.92,261.29,243.0,18.29,0.07096698979579379,2021-01-18
0653DAA9,Bengaluru,236.65,257.43,237.54,19.89,0.07911368582737667,2021-01-18
344684B5,Kolkata,251.52,273.12,251.08,22.04,0.07718283033115429,2021-01-18
3F42A75F,Mumbai,236.10999999999999,257.64,237.13,20.51,0.07826310893373571,2021-01-18
0653DAA9,Bengaluru,265.68,289.41,267.15,22.26,0.07856752688154553,2021-01-19
344684B5,Kolkata,236.1,254.44,237.03,17.41,0.07057297426303556,2021-01-19
3F42A75F,Mumbai,265.69,285.67,264.59,21.080000000000002,0.07598024989575543,2021-01-19
7F6ACD62,Delhi,246.02,265.99,245.96,20.03,0.07202917389285532,2021-01-19
ACE43B7D,Chennai,236.12,257.56,235.54,22.02,0.08448499778478295,2021-01-19
ACE43B7D,Chennai,237.19,256.43,238.26,18.169999999999998,0.07182628050054875,2021-01-20
7F6ACD62,Delhi,247.44,271.24,248.75,22.490000000000002,0.07927171651071634,2021-01-20
3F42A75F,Mumbai,234.23,254.07,233.93,20.14,0.07694465240018285,2021-01-20
344684B5,Kolkata,219.61,237.66,219.17,18.490000000000002,0.07700953582742544,2021-01-20
0653DAA9,Bengaluru,257.48,276.03,257.14,18.89,0.0725969414221831,2021-01-20
0653DAA9,Bengaluru,221.34,237.41,220.84,16.569999999999997,0.07157185821439854,2021-01-21
344684B5,Kolkata,247.81,268.05,246.89000000000001,21.159999999999997,0.07846454901216418,2021-01-21
3F42A75F,Mumbai,225.57999999999998,243.04,224.96,18.080000000000002,0.07293660044995935,2021-01-21
7F6ACD62,Delhi,248.63,270.95,249.6,21.349999999999998,0.07871898264415064,2021-01-21
ACE43B7D,Chennai,251.56,271.07,251.39,19.680000000000007,0.07203483291548245,2021-01-21
ACE43B7D,Chennai,244.98,266.12,245.35,20.77,0.07547336012814296,2021-01-22
7F6ACD62,Delhi,243.74,264.14,244.23,19.910000000000004,0.07423899835509713,2021-01-22
3F42A75F,Mumbai,230.57,250.83,229.54,21.29,0.08203343541312441,2021-01-22
344684B5,Kolkata,250.42,271.43,250.88,20.549999999999997,0.07475059324464116,2021-01-22
0653DAA9,Bengaluru,247.05,268.03,247.3,20.73,0.07312621320606769,2021-01-22
0653DAA9,Bengaluru,244.02,263.84,245.31,18.53,0.06824297352240451,2021-01-23
344684B5,Kolkata,249.13,271.45,251.04,20.410000000000004,0.07595361940104121,2021-01-23
3F42A75F,Mumbai,269.28,290.84000000000003,271.12,19.720000000000006,0.06971740194622773,2021-01-23
7F6ACD62,Delhi,256.05,278.07,255.85,22.22,0.07822411996705692,2021-01-23
ACE43B7D,Chennai,236.92,255.04,235.97,19.070000000000004,0.07689530419770162,2021-01-23
ACE43B7D,Chennai,242.34,263.52,243.19,20.330000000000002,0.0796414159289406,2021-01-24
7F6ACD62,Delhi,243.1,262.91,243.0,19.91,0.07664983669948425,2021-01-24
3F42A75F,Mumbai,249.15,268.15,250.22,17.93,0.06577339615312261,2021-01-24
344684B5,Kolkata,215.74,231.85,214.62,17.230000000000004,0.07377116090126005,2021-01-24
0653DAA9,Bengaluru,231.19,250.15,230.89000000000001,19.259999999999998,0.08145941888004672,2021-01-24
0653DAA9,Bengaluru,245.69,264.66,245.71,18.95,0.07183048843244201,2021-01-25
344684B5,Kolkata,242.77,260.35,241.35,19.000000000000004,0.07355225755752837,2021-01-25
3F42A75F,Mumbai,236.38,254.91,236.85,18.06,0.07272831027791161,2021-01-25
7F6ACD62,Delhi,259.01,281.33,259.3,22.03,0.07871604449510591,2021-01-25
ACE43B7D,Chennai,260.36,280.14,258.44,21.700000000000003,0.07421888370960225,2021-01-25
7F6ACD62,Delhi,255.70000000000002,278.24,256.42,21.819999999999997,0.07877092812903037,2021-01-26
3F42A75F,Mumbai,248.5,269.11,248.55,20.56,0.07628394931524012,2021-01-26
ACE43B7D,Chennai,246.23,267.01,245.24,21.77,0.07574161752100708,2021-01-26
0653DAA9,Bengaluru,232.65,253.23,233.92,19.31,0.07317786688365631,2021-01-26
344684B5,Kolkata,261.08,285.03,260.22,24.81,0.0861261674094812,2021-01-26
0653DAA9,Bengaluru,257.08,274.34,256.88,17.46,0.0659497849896006,2021-01-27
344684B5,Kolkata,273.17,296.6,273.98,22.62,0.07766883580523214,2021-01-27
3F42A75F,Mumbai,235.84,253.11,235.29999999999998,17.810000000000002,0.07294810186109846,2021-01-27
7F6ACD62,Delhi,240.47,260.98,241.14,19.839999999999996,0.07431181066389515,2021-01-27
ACE43B7D,Chennai,264.83,285.08,264.81,20.270000000000003,0.07121714005683083,2021-01-27
ACE43B7D,Chennai,231.87,252.36,231.84,20.520000000000003,0.07748821206613568,2021-01-28
7F6ACD62,Delhi,261.6,282.4,261.9,20.500000000000004,0.07391526953725593,2021-01-28
3F42A75F,Mumbai,245.78,265.92,246.79,19.130000000000003,0.07267120221747751,2021-01-28
344684B5,Kolkata,267.91,291.85,268.32,23.53,0.07894306016033545,2021-01-28
0653DAA9,Bengaluru,247.92000000000002,267.99,246.88,21.11,0.08205917331134745,2021-01-28
0653DAA9,Bengaluru,252.93,272.62,252.85,19.77,0.07315323304568974,2021-01-29
344684B5,Kolkata,248.35,269.51,248.34,21.169999999999998,0.07681084403860174,2021-01-29
3F42A75F,Mumbai,233.1,249.53,232.4,17.130000000000003,0.06843633904467662,2021-01-29
7F6ACD62,Delhi,246.89000000000001,266.28000000000003,247.74,18.540000000000003,0.07226463343578052,2021-01-29
ACE43B7D,Chennai,243.57,264.22,243.18,21.040000000000006,0.08146999013562191,2021-01-29
7F6ACD62,Delhi,244.07999999999998,265.18,243.81,21.369999999999997,0.07943724234790785,2021-01-30
3F42A75F,Mumbai,242.89000000000001,261.65,242.24,19.409999999999997,0.07402256589398476,2021-01-30
ACE43B7D,Chennai,242.07,261.53,240.9,20.630000000000003,0.07851293283230175,2021-01-30
0653DAA9,Bengaluru,230.1,250.03,230.0,20.03,0.07941878496844187,2021-01-30
344684B5,Kolkata,243.99,266.56,245.03,21.53,0.07771818105110391,2021-01-30
0653DAA9,Bengaluru,239.55,259.83,239.94,19.889999999999997,0.07874914392126692,2021-01-31
344684B5,Kolkata,257.36,279.34,257.54,21.8,0.0826283751962973,2021-01-31
3F42A75F,Mumbai,242.34,261.29,242.71,18.58,0.07356393079788136,2021-01-31
7F6ACD62,Delhi,260.51,281.63,261.1,20.53,0.0713026111103286,2021-01-31
ACE43B7D,Chennai,239.05,257.46999999999997,239.81,17.659999999999997,0.07058993020946454,2021-01-31
7F6ACD62,Delhi,265.32,288.98,265.18,23.8,0.07962188433403894,2021-02-01
3F42A75F,Mumbai,257.48,278.21,257.99,20.219999999999995,0.0711944612430392,2021-02-01
ACE43B7D,Chennai,262.91,282.35,262.75,19.599999999999998,0.07121749424314607,2021-02-01
0653DAA9,Bengaluru,254.6,276.34000000000003,254.84,21.500000000000004,0.07653907240534565,2021-02-01
344684B5,Kolkata,251.16,269.6,250.58,19.020000000000003,0.07259212315583032,2021-02-01
0653DAA9,Bengaluru,227.25,243.29,227.32999999999998,15.959999999999999,0.07128212092328073,2021-02-02
344684B5,Kolkata,226.26,242.51,225.44,17.069999999999997,0.07266777635572357,2021-02-02
3F42A75F,Mumbai,248.77,269.29,248.03,21.259999999999998,0.07865159330207443,2021-02-02
7F6ACD62,Delhi,234.85,252.66,235.49,17.17,0.07028654457539796,2021-02-02
ACE43B7D,Chennai,264.69,285.87,264.12,21.75,0.07914855544245702,2021-02-02
0653DAA9,Bengaluru,217.79,236.28,218.5,17.78,0.07400390761631793,2021-02-03
344684B5,Kolkata,264.24,285.19,265.04,20.149999999999995,0.06984061262702532,2021-02-03
3F42A75F,Mumbai,244.07,263.29,244.07,19.22,0.07468589214234604,2021-02-03
7F6ACD62,Delhi,236.37,259.46,238.12,21.34,0.08201443458577908,2021-02-03
ACE43B7D,Chennai,248.19,267.46,247.21,20.249999999999996,0.07901767945494682,2021-02-03
ACE43B7D,Chennai,246.51,266.44,246.46,19.98,0.07313394119627951,2021-02-04
7F6ACD62,Delhi,233.78,254.84,232.96,21.88,0.08558821250070515,2021-02-04
0653DAA9,Bengaluru,233.65,251.41,233.35,18.06,0.07501763109085773,2021-02-04
344684B5,Kolkata,235.21,255.31,236.21,19.1,0.07414846127962084,2021-02-04
3F42A75F,Mumbai,251.5,272.29,251.41,20.88,0.07482831049925064,2021-02-04
0653DAA9,Bengaluru,242.16,260.67,242.27,18.4,0.07115638223224173,2021-02-05
344684B5,Kolkata,253.51,275.79,254.0,21.790000000000003,0.07728645845803808,2021-02-05
3F42A75F,Mumbai,236.43,253.13,235.58,17.549999999999997,0.07204675012574228,2021-02-05
7F6ACD62,Delhi,254.02,275.08,254.20000000000002,20.88,0.07484312962624044,2021-02-05
ACE43B7D,Chennai,250.8,271.03000000000003,250.66,20.369999999999997,0.07527528955330469,2021-02-05
ACE43B7D,Chennai,258.96999999999997,279.21,259.08,20.129999999999995,0.07197890379269349,2021-02-06
3F42A75F,Mumbai,229.29,245.04,230.12,14.92,0.06327395663332887,2021-02-06
7F6ACD62,Delhi,218.64000000000001,237.18,219.09,18.090000000000003,0.07569970581828607,2021-02-06
0653DAA9,Bengaluru,243.82,266.67,244.72,21.95,0.07994418611970003,2021-02-06
344684B5,Kolkata,220.48,236.96,220.7,16.259999999999998,0.07232955609074676,2021-02-06
0653DAA9,Bengaluru,246.8,271.18,248.75,22.43,0.08179558028499362,2021-02-07
344684B5,Kolkata,260.86,281.05,260.98,20.07,0.07197213208747787,2021-02-07
3F42A75F,Mumbai,248.47,266.62,247.98,18.639999999999997,0.06907320946482015,2021-02-07
7F6ACD62,Delhi,233.87,251.13,233.68,17.45,0.07006259852250298,2021-02-07
ACE43B7D,Chennai,251.57,272.85,251.62,21.23,0.07632345065667749,2021-02-07
ACE43B7D,Chennai,256.29,275.57,255.34,20.230000000000004,0.07237080782684326,2021-02-08
3F42A75F,Mumbai,223.57,241.57,224.07,17.5,0.0726398167906447,2021-02-08
7F6ACD62,Delhi,265.01,285.98,265.63,20.35,0.07287700072662419,2021-02-08
0653DAA9,Bengaluru,234.43,252.24,233.66,18.580000000000002,0.07480840020077321,2021-02-08
344684B5,Kolkata,266.53000000000003,289.89,267.07,22.82,0.07665510761609902,2021-02-08
0653DAA9,Bengaluru,235.05,254.84,235.53,19.309999999999995,0.0756551233308126,2021-02-09
344684B5,Kolkata,268.52,289.03,267.03000000000003,22.0,0.07755303942904034,2021-02-09
3F42A75F,Mumbai,214.95,232.37,214.98,17.39,0.074655257048881,2021-02-09
7F6ACD62,Delhi,246.83,267.75,246.54,21.21,0.07793192016451929,2021-02-09
ACE43B7D,Chennai,232.5,250.91,232.82,18.090000000000003,0.07259270753942333,2021-02-09
3F42A75F,Mumbai,240.13,262.01,241.10999999999999,20.900000000000002,0.08097230187395711,2021-02-10
ACE43B7D,Chennai,243.45,261.23,242.43,18.8,0.07278394929137698,2021-02-10
7F6ACD62,Delhi,229.42,248.44,228.83,19.610000000000003,0.07439631968672838,2021-02-10
344684B5,Kolkata,239.5,257.61,239.51,18.1,0.07403274363043766,2021-02-10
0653DAA9,Bengaluru,229.73,248.45,229.01,19.44,0.07413786145696317,2021-02-10
0653DAA9,Bengaluru,248.28,268.41,247.82,20.590000000000003,0.07724261639242075,2021-02-11
344684B5,Kolkata,264.64,285.89,264.75,21.14,0.0758866709868303,2021-02-11
3F42A75F,Mumbai,231.97,250.55,231.75,18.8,0.07439544572805722,2021-02-11
7F6ACD62,Delhi,233.65,252.59,234.54,18.05,0.07035774393045893,2021-02-11
ACE43B7D,Chennai,247.36,269.95,248.97,20.98,0.07857345194438568,2021-02-11
7F6ACD62,Delhi,268.22,290.15,268.03,22.120000000000005,0.0781988147072047,2021-02-12
3F42A75F,Mumbai,256.0,276.33,255.75,20.580000000000002,0.07419880301755825,2021-02-12
ACE43B7D,Chennai,243.59,263.51,244.19,19.32,0.07185564005284371,2021-02-12
0653DAA9,Bengaluru,243.34,263.71,243.42,20.29,0.07845168701050803,2021-02-12
344684B5,Kolkata,263.79,285.36,265.25,20.11,0.06961583849387726,2021-02-12
ACE43B7D,Chennai,247.91,264.9,245.78,19.12,0.07252375283219832,2021-02-13
7F6ACD62,Delhi,251.7,272.82,253.18,19.640000000000004,0.07259930411132182,2021-02-13
0653DAA9,Bengaluru,225.46,242.94,224.33,18.610000000000003,0.07473544728837714,2021-02-13
344684B5,Kolkata,238.76,259.89,238.78,21.11,0.07673603743711198,2021-02-13
3F42A75F,Mumbai,239.09,256.55,238.51,18.04,0.07135080820095775,2021-02-13
0653DAA9,Bengaluru,231.55,250.95,231.15,19.799999999999997,0.0785687498000897,2021-02-14
344684B5,Kolkata,249.13,270.1,249.09,21.01,0.07857219383769515,2021-02-14
3F42A75F,Mumbai,261.01,278.85,260.28,18.570000000000004,0.06608435678452039,2021-02-14
7F6ACD62,Delhi,250.5,270.2,249.98,20.220000000000002,0.07495200879727214,2021-02-14
ACE43B7D,Chennai,269.06,291.98,269.74,22.24,0.07474093862726944,2021-02-14
0653DAA9,Bengaluru,238.3,258.98,239.35,19.630000000000003,0.07489112860415124,2021-02-15
344684B5,Kolkata,250.27,269.57,250.75,18.819999999999997,0.06916223367717128,2021-02-15
3F42A75F,Mumbai,231.99,249.69,230.32,19.369999999999997,0.0774336892727941,2021-02-15
7F6ACD62,Delhi,240.11,260.29,240.06,20.23,0.0738616302060762,2021-02-15
ACE43B7D,Chennai,247.03,267.2,246.96,20.240000000000002,0.07352597769856913,2021-02-15
7F6ACD62,Delhi,223.91,244.56,224.12,20.439999999999998,0.08287823603428557,2021-02-16
3F42A75F,Mumbai,237.08,257.59,238.08,19.509999999999998,0.0730588751744713,2021-02-16
ACE43B7D,Chennai,259.23,281.27,258.84,22.430000000000003,0.07749512153367498,2021-02-16
0653DAA9,Bengaluru,246.29,263.92,246.58,17.339999999999996,0.0643403658552988,2021-02-16
344684B5,Kolkata,245.46,265.48,246.26,19.220000000000006,0.0718804779717871,2021-02-16
ACE43B7D,Chennai,255.29,276.98,254.26,22.72,0.07986321956123957,2021-02-17
7F6ACD62,Delhi,238.09,257.90999999999997,239.21,18.699999999999996,0.07357174164664512,2021-02-17
3F42A75F,Mumbai,251.41,271.33,250.32999999999998,21.000000000000004,0.07820538589308475,2021-02-17
344684B5,Kolkata,233.28,254.27,233.55,20.72,0.08075352794972106,2021-02-17
0653DAA9,Bengaluru,228.42,245.63,227.48,18.15,0.07243017803558925,2021-02-17
7F6ACD62,Delhi,251.27,272.46,252.19,20.27,0.07711234240499358,2021-02-18
3F42A75F,Mumbai,233.16,253.06,233.15,19.91,0.07704537895988507,2021-02-18
ACE43B7D,Chennai,258.83,279.43,258.69,20.740000000000002,0.07561872135948441,2021-02-18
0653DAA9,Bengaluru,246.28,263.68,244.98,18.700000000000003,0.07394897762667857,2021-02-18
344684B5,Kolkata,248.1,269.82,249.66,20.159999999999997,0.07649732223620141,2021-02-18
0653DAA9,Bengaluru,245.41,266.66,244.94,21.720000000000002,0.07837509506566542,2021-02-19
344684B5,Kolkata,244.41,264.97,244.93,20.039999999999996,0.07346613453757465,2021-02-19
7F6ACD62,Delhi,241.19,261.21,240.92,20.290000000000006,0.07690024277365819,2021-02-19
ACE43B7D,Chennai,241.85,260.13,241.15,18.98,0.07372848406951564,2021-02-19
3F42A75F,Mumbai,248.23,270.53000000000003,247.41,23.12,0.08332909062575515,2021-02-19
0653DAA9,Bengaluru,257.33,279.51,257.32,22.189999999999994,0.07888774858435214,2021-02-20
344684B5,Kolkata,223.09,240.52,222.63,17.89,0.07048326823949082,2021-02-20
3F42A75F,Mumbai,242.13,264.14,243.6,20.540000000000003,0.07720403698398488,2021-02-20
7F6ACD62,Delhi,232.55,250.69,231.97,18.72,0.07261988621580329,2021-02-20
ACE43B7D,Chennai,233.25,251.44,232.67,18.770000000000003,0.07528462202287169,2021-02-20
7F6ACD62,Delhi,231.95,252.82,232.18,20.64,0.08188860027868906,2021-02-21
ACE43B7D,Chennai,248.65,266.54,248.53,18.009999999999998,0.06853383051953175,2021-02-21
3F42A75F,Mumbai,235.32,251.15,234.58,16.57,0.06537066929094364,2021-02-21
0653DAA9,Bengaluru,235.5,253.6,235.99,17.61,0.07136627573584695,2021-02-21
344684B5,Kolkata,233.49,250.6,233.55,17.05,0.0643059432206355,2021-02-21
0653DAA9,Bengaluru,241.37,262.45,242.0,20.45,0.07716342313317062,2021-02-22
344684B5,Kolkata,236.36,256.42,237.53,18.89,0.07500388269605253,2021-02-22
3F42A75F,Mumbai,243.83,265.51,244.69,20.820000000000004,0.07791411563664144,2021-02-22
7F6ACD62,Delhi,243.88,263.04,244.0,19.040000000000003,0.07588635780776974,2021-02-22
ACE43B7D,Chennai,238.8,259.17,239.54,19.629999999999995,0.07660503370397384,2021-02-22
ACE43B7D,Chennai,243.1,262.45,243.55,18.9,0.07319377227422731,2021-02-23
7F6ACD62,Delhi,258.0,278.88,258.29,20.590000000000003,0.0765507135898418,2021-02-23
3F42A75F,Mumbai,263.63,284.29,262.65,21.64,0.07809838917415218,2021-02-23
344684B5,Kolkata,228.22,244.07,227.17,16.9,0.0693344990620471,2021-02-23
0653DAA9,Bengaluru,251.85,273.67,252.29,21.38,0.07850399485100519,2021-02-23
0653DAA9,Bengaluru,242.37,261.98,242.19,19.790000000000003,0.07476072640611152,2021-02-24
344684B5,Kolkata,249.18,270.0,250.11,19.89,0.0716841672453543,2021-02-24
3F42A75F,Mumbai,244.67,267.73,245.73,22.0,0.08039272124506751,2021-02-24
7F6ACD62,Delhi,226.64,244.52,225.02,19.5,0.08257851540797435,2021-02-24
ACE43B7D,Chennai,236.94,254.29,237.05,17.240000000000006,0.07138228381576446,2021-02-24
ACE43B7D,Chennai,256.68,275.87,257.04,18.83,0.07095165937507711,2021-02-25
7F6ACD62,Delhi,252.56,273.19,250.81,22.380000000000003,0.07976331433695093,2021-02-25
3F42A75F,Mumbai,236.78,256.64,238.0,18.64,0.07398736261869013,2021-02-25
344684B5,Kolkata,249.10999999999999,270.94,248.82,22.12,0.07871814722659086,2021-02-25
0653DAA9,Bengaluru,239.69,259.52,239.76,19.759999999999998,0.07746856799729972,2021-02-25
0653DAA9,Bengaluru,258.96,280.89,259.77,21.119999999999997,0.07445851764974416,2021-02-26
344684B5,Kolkata,253.22,273.13,253.35,19.78,0.07828921944854571,2021-02-26
3F42A75F,Mumbai,236.58,253.07,236.29,16.78,0.06901922800036218,2021-02-26
7F6ACD62,Delhi,256.76,279.09,257.29,21.799999999999997,0.07636606139900798,2021-02-26
ACE43B7D,Chennai,252.62,273.04,252.32,20.72,0.07621645982292563,2021-02-26
ACE43B7D,Chennai,215.96,232.81,216.17,16.64,0.07456463110180622,2021-02-27
7F6ACD62,Delhi,235.8,254.35,234.92000000000002,19.430000000000003,0.07870466698306085,2021-02-27
3F42A75F,Mumbai,258.1,280.1,258.72,21.38,0.07676766494734878,2021-02-27
344684B5,Kolkata,269.79,291.88,271.29,20.59,0.07314598736225286,2021-02-27
0653DAA9,Bengaluru,249.48,271.37,250.13,21.24,0.07768869706841187,2021-02-27
0653DAA9,Bengaluru,236.37,255.46,235.95,19.51,0.0752240302305212,2021-02-28
344684B5,Kolkata,242.28,262.38,243.67,18.709999999999997,0.07061588405919411,2021-02-28
3F42A75F,Mumbai,266.01,286.99,265.65,21.34,0.07447798863844367,2021-02-28
7F6ACD62,Delhi,249.32,267.84,249.5,18.34,0.0687652349238936,2021-02-28
